X,Y,Z,sigmaX,sigmaY,sigmaZ,offset
TARGET291,36.7888,-19.0283,-2.2088,0.0005,0.0003,0.0005,0.0000
TARGET294,-46.2017,-71.2211,28.7873,0.0004,0.0004,0.0005,0.0000
TARGET295,10.5586,-66.2568,-3.9753,0.0006,0.0004,0.0006,0.0000
TARGET296,0.0657,-65.2385,-4.0548,0.0004,0.0004,0.0006,0.0000
TARGET297,15.8542,-61.9411,-3.7293,0.0007,0.0005,0.0007,0.0000
TARGET298,6.3633,-60.2069,-3.7172,0.0004,0.0003,0.0005,0.0000
TARGET299,-5.8266,-60.0645,-3.9600,0.0005,0.0004,0.0006,0.0000
TARGET300,11.1837,-55.3677,-3.4684,0.0004,0.0003,0.0005,0.0000
TARGET301,28.6943,-50.0513,-3.2385,0.0006,0.0004,0.0006,0.0000
TARGET302,8.7203,-49.8664,-3.2817,0.0004,0.0003,0.0005,0.0000
TARGET303,-20.0774,-40.4240,-3.0965,0.0004,0.0003,0.0006,0.0000
TARGET304,-3.2719,-35.8961,-3.0507,0.0004,0.0003,0.0005,0.0000
TARGET305,43.1935,13.7815,-0.8618,0.0005,0.0004,0.0005,0.0000
TARGET306,-56.4602,-36.2034,30.1307,0.0003,0.0002,0.0003,0.0000
TARGET307,-48.6475,-42.8960,29.9562,0.0003,0.0002,0.0003,0.0000
TARGET308,-39.5974,-42.4035,30.0777,0.0003,0.0002,0.0003,0.0000
TARGET309,-40.6382,-51.1001,29.6975,0.0003,0.0002,0.0003,0.0000
TARGET310,-39.1751,-57.0439,29.4494,0.0004,0.0003,0.0004,0.0000
TARGET311,-45.0570,-60.1240,29.2719,0.0003,0.0003,0.0004,0.0000
TARGET312,-57.5502,-39.9971,29.9537,0.0004,0.0002,0.0003,0.0000
TARGET313,-44.9498,-40.9209,30.0819,0.0003,0.0002,0.0003,0.0000
TARGET314,-54.0420,-51.2653,29.5358,0.0003,0.0002,0.0004,0.0000
TARGET315,20.5062,-65.5682,-3.8933,0.0008,0.0005,0.0007,0.0000
TARGET316,1.1672,-52.5653,-3.4870,0.0004,0.0003,0.0005,0.0000
TARGET317,-5.0051,-50.0308,-3.5399,0.0004,0.0003,0.0005,0.0000
TARGET318,-53.8111,-68.8108,28.8030,0.0004,0.0003,0.0005,0.0000
TARGET319,-66.2339,-68.5701,28.7280,0.0004,0.0003,0.0005,0.0000
TARGET320,-66.4214,-42.7754,29.7663,0.0003,0.0002,0.0004,0.0000
TARGET321,-70.2890,-39.5659,29.8765,0.0004,0.0002,0.0004,0.0000
TARGET322,-51.8575,-73.8814,28.6231,0.0004,0.0003,0.0004,0.0000
TARGET323,-73.3205,-40.7263,29.8089,0.0004,0.0002,0.0004,0.0000
TARGET324,-63.5393,-61.8230,29.0190,0.0004,0.0003,0.0004,0.0000
TARGET325,-66.4917,-55.6257,29.2544,0.0004,0.0003,0.0004,0.0000
TARGET326,-20.0575,-57.6026,-3.8030,0.0005,0.0004,0.0008,0.0000
TARGET327,-12.3421,-52.7785,-3.6307,0.0005,0.0004,0.0008,0.0000
TARGET328,-15.6649,-46.7504,-3.3520,0.0005,0.0004,0.0008,0.0000
TARGET329,-74.1726,-49.8738,29.4306,0.0004,0.0003,0.0005,0.0000
TARGET330,-77.9392,-46.5647,29.5330,0.0004,0.0003,0.0005,0.0000
TARGET331,-75.3361,-44.0078,29.6578,0.0004,0.0003,0.0005,0.0000
TARGET332,-77.0630,-62.6448,28.8870,0.0004,0.0003,0.0005,0.0000
TARGET333,-79.6841,-53.4521,29.2417,0.0004,0.0003,0.0005,0.0000
TARGET334,-75.4284,-54.3891,29.2436,0.0004,0.0003,0.0005,0.0000
TARGET335,-14.1579,-65.7092,-4.2517,0.0006,0.0005,0.0009,0.0000
TARGET336,-80.2443,-38.0803,29.8672,0.0004,0.0002,0.0004,0.0000
TARGET337,24.5200,-61.7502,-3.6992,0.0012,0.0005,0.0009,0.0000
TARGET338,24.7137,-68.5040,-4.0420,0.0013,0.0006,0.0010,0.0000
TARGET339,-79.1498,-73.1963,28.4273,0.0005,0.0004,0.0006,0.0000
TARGET340,-76.4635,-69.7581,28.5901,0.0005,0.0004,0.0006,0.0000
TARGET341,-70.1866,-73.3785,28.4953,0.0005,0.0004,0.0006,0.0000
