X,Y,Z,sigmaX,sigmaY,sigmaZ,offset
TARGET37,13.9397,1.6874,0.0286,0.0003,0.0003,0.0004,0.0000
TARGET38,24.2747,4.0413,0.0230,0.0003,0.0003,0.0004,0.0000
TARGET39,23.1045,6.7846,0.0285,0.0003,0.0003,0.0004,0.0000
TARGET40,20.5840,8.5299,0.0322,0.0003,0.0003,0.0004,0.0000
TARGET41,18.5193,14.3955,0.0330,0.0003,0.0003,0.0004,0.0000
TARGET42,42.1598,-17.6613,-2.0958,0.0004,0.0003,0.0004,0.0000
TARGET43,42.4741,-10.5256,-1.8301,0.0004,0.0003,0.0004,0.0000
TARGET44,44.0583,-1.2919,-1.4366,0.0004,0.0003,0.0004,0.0000
TARGET45,13.1526,-42.1693,-2.9909,0.0004,0.0003,0.0005,0.0000
TARGET46,11.7245,-34.7999,-2.7645,0.0004,0.0003,0.0004,0.0000
TARGET47,51.4260,-18.9236,-1.9359,0.0004,0.0003,0.0004,0.0000
TARGET48,46.8343,-17.5572,-1.9791,0.0004,0.0003,0.0004,0.0000
TARGET49,47.8761,-12.4840,-1.7756,0.0004,0.0003,0.0004,0.0000
TARGET50,25.2047,8.5106,0.0245,0.0004,0.0003,0.0004,0.0000
TARGET51,26.8273,10.4841,0.0213,0.0004,0.0003,0.0004,0.0000
TARGET52,37.6526,-12.8660,-2.0092,0.0004,0.0003,0.0004,0.0000
TARGET53,49.4715,-0.3893,-1.2733,0.0004,0.0003,0.0004,0.0000
TARGET54,21.5151,-45.0952,-3.0563,0.0004,0.0003,0.0005,0.0000
TARGET55,27.4208,-41.8111,-2.9567,0.0004,0.0003,0.0005,0.0000
TARGET56,15.3755,-23.6021,-0.0839,0.0003,0.0003,0.0004,0.0000
TARGET57,12.0746,-22.8277,-0.0747,0.0003,0.0003,0.0004,0.0000
TARGET58,7.6329,-23.0860,-0.0793,0.0003,0.0003,0.0004,0.0000
TARGET59,3.9579,-20.9819,-0.0711,0.0003,0.0003,0.0004,0.0000
TARGET60,19.6696,-15.6720,-0.0390,0.0003,0.0003,0.0004,0.0000
TARGET61,7.0710,-12.4256,-0.0185,0.0003,0.0003,0.0004,0.0000
TARGET62,24.1677,-7.3513,-0.0087,0.0004,0.0003,0.0004,0.0000
TARGET63,10.0017,-8.3352,0.0007,0.0003,0.0003,0.0004,0.0000
TARGET64,29.7399,-0.0000,0.0000,0.0004,0.0003,0.0004,0.0000
TARGET65,7.7900,1.8576,0.0225,0.0003,0.0003,0.0004,0.0000
TARGET66,20.1899,3.9334,0.0288,0.0003,0.0003,0.0004,0.0000
