sat1pt24,-22.96008303,-67.78841012,5137.591,
sat1pt25,-22.96008319,-67.78840740,5137.595,
sat1pt26,-22.96008297,-67.78840480,5137.589,
sat1pt27,-22.96008225,-67.78840207,5137.593,
sat1pt28,-22.96008120,-67.78839967,5137.595,
sat1pt29,-22.96007962,-67.78839739,5137.601,
sat1pt30,-22.96007796,-67.78839558,5137.594,
sat1pt31,-22.96007582,-67.78839402,5137.596,
sat1pt32,-22.96007344,-67.78839288,5137.587,
sat1pt33,-22.96007099,-67.78839223,5137.590,
sat1pt34,-22.96006848,-67.78839204,5137.593,
sat1pt35,-22.96006601,-67.78839239,5137.594,
sat1pt36,-22.96006362,-67.78839312,5137.585,
sat1pt37,-22.96006139,-67.78839432,5137.592,
sat1pt38,-22.96005942,-67.78839586,5137.580,
sat1pt39,-22.96005768,-67.78839776,5137.588,
sat1center,-22.96006874,-67.78840776,5137.586,
latpt1,-22.96092101,-67.78777375,5137.870,
latpt2,-22.96092557,-67.78777706,5137.879,
latpt3,-22.96093051,-67.78777924,5137.881,
latpt4,-22.96093585,-67.78778036,5137.883,
latpt5,-22.96094105,-67.78778028,5137.884,
latpt6,-22.96094624,-67.78777916,5137.884,
latpt7,-22.96095107,-67.78777692,5137.876,
latpt8,-22.96095562,-67.78777365,5137.881,
latpt9,-22.96095926,-67.78776962,5137.877,
latpt10,-22.96096231,-67.78776467,5137.878,
latpt11,-22.96096419,-67.78775959,5137.879,
latpt12,-22.96096512,-67.78775404,5137.880,
latpt13,-22.96096509,-67.78774822,5137.880,
latpt14,-22.96096411,-67.78774275,5137.878,
latpt15,-22.96096190,-67.78773723,5137.889,
latpt16,-22.96095899,-67.78773258,5137.882,
latpt17,-22.96095516,-67.78772846,5137.874,
latpt18,-22.96095079,-67.78772539,5137.884,
latpt19,-22.96094598,-67.78772331,5137.887,
latpt20,-22.96094059,-67.78772219,5137.881,
latpt21,-22.96093541,-67.78772225,5137.883,
latpt22,-22.96093024,-67.78772339,5137.882,
latpt23,-22.96092519,-67.78772568,5137.877,
latpt24,-22.96092091,-67.78772872,5137.889,
latpt25,-22.96091697,-67.78773311,5137.889,
latpt26,-22.96091425,-67.78773763,5137.882,
latpt27,-22.96091219,-67.78774311,5137.876,
latpt28,-22.96091129,-67.78774876,5137.881,
latpt29,-22.96091125,-67.78775442,5137.882,
