SAT2_03,-22.96051673,-67.78789936,5135.744793247,telescope,
SAT2_02,-22.9604841,-67.78793565,5135.751847746,telescope,
SAT2_01,-22.9604743,-67.78797805,5135.751236813,telescope,
SAT3_12,-22.96036988,-67.78780874,5135.726143943,telescope,
SAT3_11,-22.96040022,-67.78784109,5135.832032029,telescope,
SAT3_10,-22.9604415,-67.78785236,5135.806587877,telescope,
SAT3_09,-22.96048243,-67.7878398,5135.777151869,telescope,
SAT3_08,-22.96051219,-67.78780705,5135.770872615,telescope,
SAT3_07,-22.96052291,-67.78776272,5135.764270318,telescope,
SAT3_06,-22.96051144,-67.78771834,5135.780375645,telescope,
SAT3_05,-22.96048125,-67.78768619,5135.75311265,telescope,
SAT3_04,-22.96043965,-67.78767628,5135.981618271,telescope,
SAT3_03,-22.96040107,-67.78768572,5135.748851959,telescope,
SAT3_02,-22.96036839,-67.78772173,5135.781509624,telescope,
SAT3_01,-22.96035877,-67.78776468,5135.771577028,telescope,
RTK_PUC1,-22.96120572,-67.78738722,5136.784286793,base,
BASE_rover,-22.96121155,-67.78739218,5136.527624693,base,
BASE1,-22.96121172,-67.78739164,5136.5408,,
