CODE131	-5.0285	33.2600	0.4558	0.0004	0.0003	0.0005	0.0000
CODE133	-10.7606	-13.6786	2.7361	0.0004	0.0003	0.0004	0.0000
CODE134	12.5835	-13.2476	2.6992	0.0003	0.0003	0.0004	0.0000
CODE135	29.2506	-12.9276	2.7024	0.0003	0.0003	0.0004	0.0000
CODE136	52.6799	-12.4300	2.6747	0.0003	0.0003	0.0004	0.0000
CODE137	69.4681	-12.0384	2.6334	0.0003	0.0003	0.0004	0.0000
CODE138	92.8352	-11.5115	2.6297	0.0004	0.0004	0.0006	0.0000
CODE139	90.5170	3.9702	0.2644	0.0004	0.0003	0.0005	0.0000
CODE140	-20.9598	-0.0422	0.1450	0.0004	0.0003	0.0004	0.0000
CODE141	71.4854	31.3682	0.6138	0.0003	0.0003	0.0005	0.0000
CODE142	34.0508	31.8245	0.5736	0.0004	0.0003	0.0005	0.0000
CODE143	53.3070	1.0710	0.0552	0.0003	0.0003	0.0005	0.0000
CODE144	20.7894	0.9218	0.2614	0.0003	0.0003	0.0004	0.0000
CSB-045-1	-17.4660	-13.7163	2.4738	0.0004	0.0003	0.0004	0.0000
CSB-045-2	-15.9342	-13.6791	2.4725	0.0004	0.0003	0.0004	0.0000
CSB-045-3	-14.3768	-13.6493	2.4709	0.0004	0.0003	0.0004	0.0000
CSB-045-4	-12.8298	-13.6158	2.4683	0.0004	0.0003	0.0004	0.0000
CSB-045-5	14.7611	-13.1073	2.4207	0.0004	0.0004	0.0005	0.0000
CSB-045-6	16.2814	-13.0675	2.4167	0.0004	0.0004	0.0005	0.0000
CSB-045-7	17.8025	-13.0487	2.4149	0.0004	0.0004	0.0006	0.0000
CSB-045-8	19.3823	-13.0070	2.4124	0.0004	0.0003	0.0004	0.0000
CSB-045-9	22.6918	-12.9663	2.4072	0.0003	0.0003	0.0004	0.0000
CSB-045-10	24.2223	-12.9271	2.4073	0.0003	0.0003	0.0004	0.0000
CSB-045-11	25.7675	-12.9014	2.4069	0.0003	0.0003	0.0004	0.0000
CSB-045-12	27.2900	-12.8725	2.4052	0.0003	0.0003	0.0004	0.0000
CSB-045-13	54.8643	-12.2963	2.3697	0.0003	0.0003	0.0004	0.0000
CSB-045-14	56.3988	-12.2627	2.3693	0.0003	0.0003	0.0004	0.0000
CSB-045-15	57.9476	-12.2157	2.3641	0.0003	0.0003	0.0005	0.0000
CSB-045-16	59.4818	-12.2004	2.3632	0.0004	0.0003	0.0005	0.0000
CSB-045-17	62.7945	-12.0917	2.3674	0.0003	0.0003	0.0004	0.0000
CSB-045-18	64.3370	-12.0913	2.3638	0.0003	0.0003	0.0004	0.0000
CSB-045-19	65.8629	-12.0393	2.3645	0.0003	0.0003	0.0004	0.0000
CSB-045-20	67.3947	-12.0060	2.3600	0.0003	0.0003	0.0004	0.0000
CSB-045-21	95.0122	-11.3950	2.3563	0.0003	0.0003	0.0005	0.0000
CSB-045-22	96.5559	-11.3370	2.3558	0.0004	0.0004	0.0006	0.0000
CSB-045-23	98.1008	-11.3023	2.3580	0.0004	0.0004	0.0005	0.0000
CSB-045-24	99.6394	-11.2546	2.3579	0.0004	0.0004	0.0005	0.0000
NUGGET133_1	-11.3790	-13.1270	2.7620	0.0004	0.0003	0.0004	0.0000
NUGGET133_5	-10.7950	-12.9079	2.7696	0.0004	0.0003	0.0004	0.0000
NUGGET133_15	-10.1441	-13.7020	2.7302	0.0004	0.0003	0.0004	0.0000
NUGGET133_A	-9.9923	-12.8975	2.7674	0.0004	0.0003	0.0004	0.0000
NUGGET133_B	-10.7804	-14.2912	2.7044	0.0004	0.0003	0.0004	0.0000
NUGGET133_C	-11.3687	-14.2988	2.7077	0.0004	0.0003	0.0004	0.0000
NUGGET133_D	-11.3745	-13.7129	2.7370	0.0004	0.0003	0.0004	0.0000
NUGGET134_2	11.9561	-12.4824	2.7305	0.0003	0.0003	0.0004	0.0000
NUGGET134_5	12.5474	-12.4814	2.7276	0.0003	0.0003	0.0004	0.0000
NUGGET134_15	13.1983	-13.2660	2.6978	0.0003	0.0003	0.0004	0.0000
NUGGET134_A	13.3519	-12.4613	2.7304	0.0003	0.0003	0.0004	0.0000
NUGGET134_B	12.5648	-13.8597	2.6711	0.0003	0.0003	0.0004	0.0000
NUGGET134_C	11.9784	-13.8691	2.6720	0.0003	0.0003	0.0004	0.0000
NUGGET134_D	11.9706	-13.2846	2.6983	0.0003	0.0003	0.0004	0.0000
NUGGET135_1	28.6266	-12.3824	2.7331	0.0003	0.0003	0.0004	0.0000
NUGGET135_6	29.4258	-12.1494	2.7412	0.0004	0.0003	0.0005	0.0000
NUGGET135_15	29.8684	-12.9404	2.7000	0.0003	0.0003	0.0004	0.0000
NUGGET135_A	30.0110	-12.1410	2.7423	0.0004	0.0003	0.0004	0.0000
NUGGET135_B	29.2388	-13.5411	2.6702	0.0003	0.0003	0.0004	0.0000
NUGGET135_C	28.6524	-13.5547	2.6708	0.0003	0.0003	0.0004	0.0000
NUGGET135_D	28.6391	-12.9697	2.7022	0.0003	0.0003	0.0004	0.0000
NUGGET136_2	52.0501	-11.6741	2.7143	0.0003	0.0003	0.0004	0.0000
NUGGET136_6	52.8500	-11.6545	2.7128	0.0003	0.0003	0.0004	0.0000
NUGGET136_15	53.2948	-12.4440	2.6721	0.0003	0.0003	0.0004	0.0000
NUGGET136_A	53.4379	-11.6410	2.7133	0.0003	0.0003	0.0004	0.0000
NUGGET136_B	52.6668	-13.0441	2.6415	0.0003	0.0003	0.0004	0.0000
NUGGET136_C	52.0787	-13.0546	2.6426	0.0003	0.0003	0.0004	0.0000
NUGGET136_D	52.0671	-12.4697	2.6745	0.0003	0.0003	0.0004	0.0000
NUGGET137_3	69.0609	-11.4812	2.6511	0.0003	0.0003	0.0004	0.0000
NUGGET137_6	69.6455	-11.2612	2.6546	0.0003	0.0003	0.0004	0.0000
NUGGET137_15	70.0828	-12.0559	2.6309	0.0003	0.0003	0.0004	0.0000
NUGGET137_A	70.2338	-11.2533	2.6547	0.0003	0.0003	0.0004	0.0000
NUGGET137_B	69.4477	-12.6491	2.6093	0.0003	0.0003	0.0005	0.0000
NUGGET137_C	68.8595	-12.6590	2.6105	0.0003	0.0003	0.0004	0.0000
NUGGET137_D	68.8562	-12.0705	2.6351	0.0003	0.0003	0.0004	0.0000
NUGGET138_4	92.4196	-10.7424	2.6532	0.0004	0.0004	0.0005	0.0000
NUGGET138_6	93.0082	-10.7312	2.6518	0.0004	0.0004	0.0005	0.0000
NUGGET138_15	93.4518	-11.5246	2.6308	0.0004	0.0004	0.0007	0.0000
NUGGET138_A	93.5971	-10.7164	2.6544	0.0004	0.0004	0.0005	0.0000
NUGGET138_B	92.8218	-12.1294	2.6055	0.0004	0.0004	0.0006	0.0000
NUGGET138_C	92.2329	-12.1430	2.6054	0.0004	0.0004	0.0006	0.0000
NUGGET138_D	92.2219	-11.5532	2.6280	0.0004	0.0004	0.0006	0.0000
TARGET1	21.7468	-24.7719	0.1380	0.0003	0.0003	0.0004	0.0000
TARGET2	31.7065	-23.7600	0.2212	0.0003	0.0003	0.0004	0.0000
TARGET3	-7.3594	-24.7682	-0.0198	0.0005	0.0004	0.0005	0.0000
TARGET4	-17.1112	-25.0064	-0.0034	0.0005	0.0004	0.0005	0.0000
TARGET5	3.9917	-22.4125	-0.2133	0.0004	0.0003	0.0005	0.0000
TARGET6	86.8732	-19.3209	0.1169	0.0003	0.0004	0.0005	0.0000
TARGET7	47.1660	-20.7200	0.1149	0.0003	0.0003	0.0004	0.0000
TARGET8	57.8411	-20.2304	-0.0136	0.0003	0.0004	0.0005	0.0000
TARGET9	65.5364	-19.7798	0.1056	0.0003	0.0003	0.0005	0.0000
TARGET10	34.4015	-20.4973	0.2346	0.0003	0.0003	0.0004	0.0000
TARGET11	72.8123	-18.8056	0.1554	0.0003	0.0003	0.0005	0.0000
TARGET12	-12.6669	-21.5022	0.0198	0.0004	0.0003	0.0005	0.0000
TARGET13	-19.4982	-21.3176	0.0070	0.0004	0.0003	0.0005	0.0000
TARGET14	40.7732	-18.4905	0.2118	0.0003	0.0003	0.0004	0.0000
TARGET15	28.4735	-18.6083	0.2328	0.0003	0.0003	0.0004	0.0000
TARGET28	80.4313	-10.1805	0.2326	0.0003	0.0003	0.0005	0.0000
TARGET29	62.2940	-10.5133	0.1319	0.0003	0.0003	0.0005	0.0000
TARGET34	42.1278	-11.1818	0.2140	0.0003	0.0003	0.0004	0.0000
TARGET36	35.8116	-10.6154	0.2689	0.0003	0.0003	0.0004	0.0000
TARGET37	68.6766	-8.0715	0.2330	0.0003	0.0003	0.0005	0.0000
TARGET38	90.2065	-6.3575	0.2057	0.0004	0.0004	0.0005	0.0000
TARGET39	56.6696	-8.4521	0.0447	0.0003	0.0003	0.0005	0.0000
TARGET40	72.8223	-7.0162	0.2701	0.0003	0.0003	0.0005	0.0000
TARGET41	76.9461	-6.3909	0.2784	0.0003	0.0003	0.0005	0.0000
TARGET44	48.3802	-8.2922	0.1324	0.0004	0.0003	0.0005	0.0000
TARGET45	84.4181	-5.4996	0.2630	0.0003	0.0003	0.0005	0.0000
TARGET48	112.1704	-2.0631	0.2958	0.0004	0.0004	0.0006	0.0000
TARGET49	16.2220	-9.7174	0.0959	0.0003	0.0003	0.0004	0.0000
TARGET50	26.6345	-8.8628	0.2721	0.0003	0.0003	0.0004	0.0000
TARGET51	70.5389	-5.0293	0.2724	0.0003	0.0003	0.0005	0.0000
TARGET52	64.3240	-5.3555	0.2167	0.0003	0.0003	0.0005	0.0000
TARGET53	97.5357	-2.4889	0.1124	0.0004	0.0003	0.0005	0.0000
TARGET54	4.7663	-9.9672	-0.1454	0.0003	0.0003	0.0004	0.0000
TARGET55	78.2082	-3.7690	0.3119	0.0003	0.0003	0.0005	0.0000
TARGET56	-0.1744	-10.2799	-0.0448	0.0004	0.0003	0.0004	0.0000
TARGET57	-9.8659	-10.9322	0.0832	0.0004	0.0003	0.0004	0.0000
TARGET58	107.5491	-0.7964	0.2409	0.0004	0.0003	0.0005	0.0000
TARGET59	75.3260	-3.5140	0.3033	0.0003	0.0003	0.0005	0.0000
TARGET60	-14.0295	-11.0327	0.1034	0.0004	0.0003	0.0004	0.0000
TARGET61	67.3054	-3.2138	0.2633	0.0003	0.0003	0.0005	0.0000
TARGET62	10.3928	-7.9126	-0.0286	0.0003	0.0003	0.0004	0.0000
TARGET63	20.7786	-6.9271	0.2212	0.0003	0.0003	0.0004	0.0000
