TARGET41	-7.7260	4.0364	0.0194	0.0002	0.0001	0.0002	0.0000
TARGET42	6.9179	-3.6127	-0.0092	0.0002	0.0001	0.0002	0.0000
TARGET43	5.7383	0.9311	-0.0023	0.0002	0.0001	0.0002	0.0000
TARGET44	11.9811	-0.1201	0.0089	0.0002	0.0001	0.0002	0.0000
TARGET45	4.7970	9.3903	0.0070	0.0002	0.0001	0.0002	0.0000
TARGET46	13.6406	9.8460	0.0008	0.0002	0.0001	0.0002	0.0000
TARGET47	-17.1747	-2.1664	0.1408	0.0002	0.0001	0.0002	0.0000
TARGET48	-17.4960	11.0646	0.0170	0.0002	0.0001	0.0002	0.0000
TARGET49	-16.0078	11.7912	0.0117	0.0002	0.0001	0.0002	0.0000
TARGET50	-14.5674	-4.9710	0.1519	0.0002	0.0001	0.0002	0.0000
TARGET51	-0.0000	0.0000	0.0000	0.0002	0.0001	0.0002	0.0000
